ObsTime,SunshineDuration,AirTemperature,WindSpeed
2025-07-14T13:10:00+08:00,4.1,26.8,2.14
2025-07-14T13:20:00+08:00,4.14,26.41,2.67
2025-07-14T13:30:00+08:00,4.2,26.93,2.33
2025-07-14T13:40:00+08:00,4.26,26.69,2.41
2025-07-14T13:50:00+08:00,4.34,27.1,2.19
2025-07-14T14:00:00+08:00,4.4,26.57,2.31
2025-07-14T14:10:00+08:00,4.46,26.3,2.39
2025-07-14T14:20:00+08:00,4.54,26.74,2.53
2025-07-14T14:30:00+08:00,4.57,26.07,2.1
2025-07-14T14:40:00+08:00,4.61,25.61,2.71
